GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JitaKyoei,org.fpij.jitakyoei.view.gui,Splash,31,0,0,0,8,0,2,0,2,0
JitaKyoei,org.fpij.jitakyoei.view.gui,AlunoBuscarPanel,244,0,2,0,50,0,11,0,10,0
JitaKyoei,org.fpij.jitakyoei.view.gui,BuscaCamposPanel,102,0,0,0,23,0,4,0,4,0
JitaKyoei,org.fpij.jitakyoei.view.gui,EnderecoPanel,281,0,0,0,56,0,8,0,8,0
JitaKyoei,org.fpij.jitakyoei.view.gui,ProfessorAtualizarPanel,145,0,0,0,30,0,5,0,5,0
JitaKyoei,org.fpij.jitakyoei.view.gui,EntidadeBuscarPanel,187,0,0,0,34,0,5,0,5,0
JitaKyoei,org.fpij.jitakyoei.view.gui,EntidadeAtualizarPanel,122,0,0,0,26,0,5,0,5,0
JitaKyoei,org.fpij.jitakyoei.view.gui,FiliadoPanel.new DefaultTableModel() {...},42,0,0,0,5,0,3,0,3,0
JitaKyoei,org.fpij.jitakyoei.view.gui,AlunoCadastrarPanel,145,0,0,0,30,0,5,0,5,0
JitaKyoei,org.fpij.jitakyoei.model.validator,AlunoValidator,5,0,0,0,2,0,2,0,2,0
JitaKyoei,org.fpij.jitakyoei.model.dao,DAOImpl.DefaultValidator,0,8,0,0,0,2,0,2,0,2
JitaKyoei,org.fpij.jitakyoei.model.dao,DAOImpl,51,96,7,7,16,29,7,9,2,7
